model,class_id,category_id,class_name,precision,recall,f1_score,mAP50,mAP50_95,AP50,AP50_95
Faster R-CNN,0,0.0,person,0.451419242362668,0.5119387027797576,0.4797780150363506,0.7189022613698263,0.451419242362668,0.7189022613698263,0.451419242362668
Faster R-CNN,1,1.0,bicycle,0.2801842568549684,0.35,0.3112248166548776,0.4889852013689102,0.2801842568549684,0.4889852013689102,0.2801842568549684
Faster R-CNN,2,2.0,car,0.3092530172425368,0.418200408997955,0.3555684353926595,0.5395252616241333,0.3092530172425368,0.5395252616241333,0.3092530172425368
Faster R-CNN,3,3.0,motorcycle,0.3300783363812984,0.43125,0.3739419006549185,0.6776889642304827,0.3300783363812984,0.6776889642304827,0.3300783363812984
Faster R-CNN,4,4.0,bus,0.5480710533547208,0.7,0.6147882948123554,0.7772146651482644,0.5480710533547208,0.7772146651482644,0.5480710533547208
Faster R-CNN,5,5.0,truck,0.2333632111110702,0.4159292035398231,0.2989795424765925,0.3908354332068184,0.2333632111110702,0.3908354332068184,0.2333632111110702
Faster R-CNN,6,6.0,traffic light,0.2341646983475854,0.3349593495934959,0.2756364112183305,0.5053318268262355,0.2341646983475854,0.5053318268262355,0.2341646983475854
Faster R-CNN,7,7.0,stop sign,0.5948432343234323,0.611764705882353,0.6031853167316615,0.7512376237623762,0.5948432343234323,0.7512376237623762,0.5948432343234323
YOLOv8,0,,person,0.6079493486892145,0.6107429368678061,0.6093429409305113,0.6249575942140078,0.3666743382211425,0.6249575942140078,0.3666743382211425
YOLOv8,1,,bicycle,0.3579700549804658,0.1951219512195122,0.2525721392570267,0.1735539142507639,0.0815397430737488,0.1735539142507639,0.0815397430737488
YOLOv8,2,,car,0.5012162989199078,0.3617886178861789,0.4202394413217563,0.3642492766304812,0.1992666206652071,0.3642492766304812,0.1992666206652071
YOLOv8,3,,motorcycle,0.4141247937872239,0.3753385078950699,0.3937788668611302,0.3965720567270001,0.2014999301772403,0.3965720567270001,0.2014999301772403
YOLOv8,4,,bus,0.4329714780955118,0.5405405405405406,0.480813040472344,0.5663525614862767,0.4144878815841687,0.5663525614862767,0.4144878815841687
YOLOv8,5,,truck,0.3382777369007099,0.247787610619469,0.28604670966151,0.2031570021654686,0.1278235659286221,0.2031570021654686,0.1278235659286221
YOLOv8,6,,traffic light,0.329351128066255,0.2016129032258064,0.2501165171152897,0.1688480505589155,0.0828878922558157,0.1688480505589155,0.0828878922558157
YOLOv8,7,,stop sign,0.6115477651152454,0.5294117647058824,0.5675233399073455,0.5131386904761905,0.4502598214285714,0.5131386904761905,0.4502598214285714
Deformable DETR,0,0.0,person,0.0641167336080329,0.1733784746970776,0.0936141958808555,0.1756737262534732,0.0641167336080329,0.1756737262534732,0.0641167336080329
Deformable DETR,1,1.0,bicycle,0.0358225814702907,0.1219512195121951,0.0553781105503298,0.0725751673986615,0.0358225814702907,0.0725751673986615,0.0358225814702907
Deformable DETR,2,2.0,car,0.0421764105674566,0.1167689161554192,0.0619696577537573,0.0933263508640696,0.0421764105674566,0.0933263508640696,0.0421764105674566
Deformable DETR,3,3.0,motorcycle,0.1094743953360059,0.2419642857142857,0.1507454659931949,0.2405297483522981,0.1094743953360059,0.2405297483522981,0.1094743953360059
Deformable DETR,4,4.0,bus,0.1270774606116077,0.3027027027027027,0.179006357497231,0.2650628488202924,0.1270774606116077,0.2650628488202924,0.1270774606116077
Deformable DETR,5,5.0,truck,0.0449193351159499,0.1893805309734513,0.0726150439367904,0.0950884902760761,0.0449193351159499,0.0950884902760761,0.0449193351159499
Deformable DETR,6,6.0,traffic light,0.0184073031993436,0.0886178861788618,0.0304828481828674,0.0438790423839135,0.0184073031993436,0.0438790423839135,0.0184073031993436
Deformable DETR,7,7.0,stop sign,0.1533495351481936,0.2235294117647058,0.1819052598551694,0.297029702970297,0.1533495351481936,0.297029702970297,0.1533495351481936
