epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4566,1.41639,2.29965,1.24758,0.65508,0.27873,0.31209,0.20962,1.32325,1.49383,1.15709,0.000275563,0.000275563,0.000275563
2,61.5534,1.45909,1.62388,1.28358,0.52524,0.26446,0.29647,0.18806,1.59792,1.63138,1.35302,0.000542276,0.000542276,0.000542276
3,89.6858,1.51237,1.63251,1.32645,0.53745,0.27499,0.27995,0.18113,1.57736,1.79548,1.3699,0.000797993,0.000797993,0.000797993
4,117.764,1.50668,1.60929,1.33224,0.30582,0.32177,0.26914,0.16466,1.58728,1.62832,1.34005,0.00078352,0.00078352,0.00078352
5,145.69,1.5194,1.61529,1.32693,0.42981,0.26744,0.26389,0.16522,1.53672,1.65257,1.34083,0.000767026,0.000767026,0.000767026
6,173.143,1.50082,1.5537,1.32407,0.47132,0.28084,0.2865,0.18613,1.57095,1.53567,1.33853,0.000750533,0.000750533,0.000750533
7,200.018,1.48345,1.53311,1.31726,0.47739,0.29748,0.29371,0.1927,1.51537,1.54563,1.3033,0.00073404,0.00073404,0.00073404
8,228.157,1.44516,1.48972,1.29454,0.38802,0.30118,0.27726,0.17684,1.49829,1.52564,1.28793,0.000717546,0.000717546,0.000717546
9,256.216,1.45615,1.43949,1.2885,0.39855,0.3117,0.31544,0.2069,1.5115,1.51322,1.29487,0.000701053,0.000701053,0.000701053
10,284.507,1.43985,1.43495,1.2962,0.55118,0.28706,0.3155,0.20416,1.48452,1.46766,1.30388,0.000684559,0.000684559,0.000684559
11,312.595,1.42051,1.40118,1.27386,0.48769,0.30176,0.31195,0.19349,1.51992,1.46149,1.29794,0.000668066,0.000668066,0.000668066
